#Risvollan, 123.38.0, Vanntemperatur, dogn
Tidspunkt;Vanntemperatur (°C);Korrigert;Kontrollert
2016-01-01 11:00:00Z;7,46875;0;1
2016-01-02 11:00:00Z;7,495833;0;1
2016-01-03 11:00:00Z;7,5375;0;1
2016-01-04 11:00:00Z;7,566667;0;1
2016-01-05 11:00:00Z;7,560417;0;1
2016-01-06 11:00:00Z;7,56875;0;1
2016-01-07 11:00:00Z;7,554167;0;1
2016-01-08 11:00:00Z;7,59375;0;1
2016-01-09 11:00:00Z;7,504167;0;1
2016-01-10 11:00:00Z;7,502083;0;1
2016-01-11 11:00:00Z;7,595833;0;1
2016-01-12 11:00:00Z;7,683333;0;1
2016-01-13 11:00:00Z;7,689583;0;1
2016-01-14 11:00:00Z;7,616667;0;1
2016-01-15 11:00:00Z;7,522917;0;1
2016-01-16 11:00:00Z;7,429167;0;1
2016-01-17 11:00:00Z;7,495833;0;1
2016-01-18 11:00:00Z;7,6;0;1
2016-01-19 11:00:00Z;7,68125;0;1
2016-01-20 11:00:00Z;7,641667;0;1
2016-01-21 11:00:00Z;7,71875;0;1
2016-01-22 11:00:00Z;7,73125;0;1
2016-01-23 11:00:00Z;7,6375;0;1
2016-01-24 11:00:00Z;7,702083;0;1
2016-01-25 11:00:00Z;7,870833;0;1
2016-01-26 11:00:00Z;7,975;0;1
2016-01-27 11:00:00Z;7,760417;0;1
2016-01-28 11:00:00Z;7,460417;0;1
2016-01-29 11:00:00Z;7,389583;0;1
2016-01-30 11:00:00Z;5,433333;0;1
2016-01-31 11:00:00Z;6,302083;0;1
2016-02-01 11:00:00Z;6,735417;0;1
2016-02-02 11:00:00Z;6,952083;0;1
2016-02-03 11:00:00Z;7,054167;0;1
2016-02-04 11:00:00Z;7,214583;0;1
2016-02-05 11:00:00Z;7,35;0;1
2016-02-06 11:00:00Z;7,458333;0;1
2016-02-07 11:00:00Z;7,395833;0;1
2016-02-08 11:00:00Z;7,125;0;1
2016-02-09 11:00:00Z;6,933333;0;1
2016-02-10 11:00:00Z;7,05;0;1
2016-02-11 11:00:00Z;7,145833;0;1
2016-02-12 11:00:00Z;7,216667;0;1
2016-02-13 11:00:00Z;7,254167;0;1
2016-02-14 11:00:00Z;7,202083;0;1
2016-02-15 11:00:00Z;7,154167;0;1
2016-02-16 11:00:00Z;7,214583;0;1
2016-02-17 11:00:00Z;7,23125;0;1
2016-02-18 11:00:00Z;7,35;0;1
2016-02-19 11:00:00Z;7,335417;0;1
2016-02-20 11:00:00Z;7,25625;0;1
2016-02-21 11:00:00Z;7,28125;0;1
2016-02-22 11:00:00Z;7,260417;0;1
2016-02-23 11:00:00Z;7,214583;0;1
2016-02-24 11:00:00Z;7,327083;0;1
2016-02-25 11:00:00Z;7,416667;0;1
2016-02-26 11:00:00Z;7,26875;0;1
2016-02-27 11:00:00Z;7,252083;0;1
2016-02-28 11:00:00Z;7,40625;0;1
2016-02-29 11:00:00Z;7,6;0;1
2016-03-01 11:00:00Z;7,616667;0;1
2016-03-02 11:00:00Z;7,54375;0;1
2016-03-03 11:00:00Z;7,470833;0;1
2016-03-04 11:00:00Z;7,472917;0;1
2016-03-05 11:00:00Z;7,5375;0;1
2016-03-06 11:00:00Z;7,6;0;1
2016-03-07 11:00:00Z;7,645833;0;1
2016-03-08 11:00:00Z;7,59375;0;1
2016-03-09 11:00:00Z;7,522917;0;1
2016-03-10 11:00:00Z;7,46875;0;1
2016-03-11 11:00:00Z;7,464583;0;1
2016-03-12 11:00:00Z;7,44375;0;1
2016-03-13 11:00:00Z;7,266667;0;1
2016-03-14 11:00:00Z;5,620833;0;1
2016-03-15 11:00:00Z;5,229167;0;1
2016-03-16 11:00:00Z;4,920833;0;1
2016-03-17 11:00:00Z;4,595833;0;1
2016-03-18 11:00:00Z;4,420833;0;1
2016-03-19 11:00:00Z;4,229167;0;1
2016-03-20 11:00:00Z;3,816667;0;1
2016-03-21 11:00:00Z;4,0125;0;1
2016-03-22 11:00:00Z;4,127083;0;1
2016-03-23 11:00:00Z;4,183333;0;1
2016-03-24 11:00:00Z;4,435417;0;1
2016-03-25 11:00:00Z;4,602083;0;1
2016-03-26 11:00:00Z;4,6;0;1
2016-03-27 11:00:00Z;3,933333;0;1
2016-03-28 11:00:00Z;3,939583;0;1
2016-03-29 11:00:00Z;4,05;0;1
2016-03-30 11:00:00Z;4,1875;0;1
2016-03-31 11:00:00Z;4,397917;0;1
2016-04-01 11:00:00Z;4,710417;0;1
2016-04-02 11:00:00Z;4,941667;0;1
2016-04-03 11:00:00Z;4,958333;0;1
2016-04-04 11:00:00Z;4,939583;0;1
2016-04-05 11:00:00Z;5,039583;0;1
2016-04-06 11:00:00Z;5,058333;0;1
2016-04-07 11:00:00Z;5,079167;0;1
2016-04-08 11:00:00Z;5,277083;0;1
2016-04-09 11:00:00Z;5,4375;0;1
2016-04-10 11:00:00Z;5,49375;0;1
2016-04-11 11:00:00Z;5,59375;0;1
2016-04-12 11:00:00Z;5,577083;0;1
2016-04-13 11:00:00Z;5,8625;0;1
2016-04-14 11:00:00Z;5,964583;0;1
2016-04-15 11:00:00Z;6,079167;0;1
2016-04-16 11:00:00Z;6,072917;0;1
2016-04-17 11:00:00Z;6,152083;0;1
2016-04-18 11:00:00Z;6,272917;0;1
2016-04-19 11:00:00Z;6,50625;0;1
2016-04-20 11:00:00Z;6,508333;0;1
2016-04-21 11:00:00Z;6,441667;0;1
2016-04-22 11:00:00Z;6,127083;0;1
2016-04-23 11:00:00Z;6,052083;0;1
2016-04-24 11:00:00Z;6,11875;0;1
2016-04-25 11:00:00Z;6,222917;0;1
2016-04-26 11:00:00Z;6,20625;0;1
2016-04-27 11:00:00Z;6,252083;0;1
2016-04-28 11:00:00Z;6,447917;0;1
2016-04-29 11:00:00Z;6,56875;0;1
2016-04-30 11:00:00Z;6,547917;0;1
2016-05-01 11:00:00Z;6,5375;0;1
2016-05-02 11:00:00Z;6,5875;0;1
2016-05-03 11:00:00Z;6,73125;0;1
2016-05-04 11:00:00Z;6,916667;0;1
2016-05-05 11:00:00Z;6,889583;0;1
2016-05-06 11:00:00Z;6,925;0;1
2016-05-07 11:00:00Z;6,914583;0;1
2016-05-08 11:00:00Z;6,966667;0;1
2016-05-09 11:00:00Z;7,072917;0;1
2016-05-10 11:00:00Z;7,202083;0;1
2016-05-11 11:00:00Z;7,26875;0;1
2016-05-12 11:00:00Z;7,29375;0;1
2016-05-13 11:00:00Z;7,395833;0;1
2016-05-14 11:00:00Z;7,460417;0;1
2016-05-15 11:00:00Z;7,670833;0;1
2016-05-16 11:00:00Z;7,627083;0;1
2016-05-17 11:00:00Z;7,6375;0;1
2016-05-18 11:00:00Z;7,61875;0;1
2016-05-19 11:00:00Z;7,639583;0;1
2016-05-20 11:00:00Z;7,633333;0;1
2016-05-21 11:00:00Z;8,202084;0;1
2016-05-22 11:00:00Z;8,020833;0;1
2016-05-23 11:00:00Z;8,258333;0;1
2016-05-24 11:00:00Z;8,397917;0;1
2016-05-25 11:00:00Z;8,245833;0;1
2016-05-26 11:00:00Z;8,19375;0;1
2016-05-27 11:00:00Z;8,135417;0;1
2016-05-28 11:00:00Z;8,177083;0;1
2016-05-29 11:00:00Z;8,1625;0;1
2016-05-30 11:00:00Z;8,2875;0;1
2016-05-31 11:00:00Z;8,3375;0;1
2016-06-01 11:00:00Z;8,320833;0;1
2016-06-02 11:00:00Z;8,320832;0;1
2016-06-03 11:00:00Z;8,314583;0;1
2016-06-04 11:00:00Z;8,26875;0;1
2016-06-05 11:00:00Z;8,2625;0;1
2016-06-06 11:00:00Z;8,297916;0;1
2016-06-07 11:00:00Z;8,397917;0;1
2016-06-08 11:00:00Z;8,627084;0;1
2016-06-09 11:00:00Z;8,608334;0;1
2016-06-10 11:00:00Z;8,566667;0;1
2016-06-11 11:00:00Z;8,64375;0;1
2016-06-12 11:00:00Z;8,672916;0;1
2016-06-13 11:00:00Z;8,777083;0;1
2016-06-14 11:00:00Z;8,74375;0;1
2016-06-15 11:00:00Z;8,739583;0;1
2016-06-16 11:00:00Z;8,835417;0;1
2016-06-17 11:00:00Z;8,854167;0;1
2016-06-18 11:00:00Z;8,858334;0;1
2016-06-19 11:00:00Z;9,03125;0;1
2016-06-20 11:00:00Z;9,097917;0;1
2016-06-21 11:00:00Z;9,8125;0;1
2016-06-22 11:00:00Z;9,691667;0;1
2016-06-23 11:00:00Z;9,4125;0;1
2016-06-24 11:00:00Z;9,335417;0;1
2016-06-25 11:00:00Z;10,25208;0;1
2016-06-26 11:00:00Z;9,835417;0;1
2016-06-27 11:00:00Z;10,3;0;1
2016-06-28 11:00:00Z;10,75208;0;1
2016-06-29 11:00:00Z;10,40625;0;1
2016-06-30 11:00:00Z;10,04792;0;1
2016-07-01 11:00:00Z;9,872916;0;1
2016-07-02 11:00:00Z;9,775;0;1
2016-07-03 11:00:00Z;10,78958;0;1
2016-07-04 11:00:00Z;10,68333;0;1
2016-07-05 11:00:00Z;10,32083;0;1
2016-07-06 11:00:00Z;10,15417;0;1
2016-07-07 11:00:00Z;10,03958;0;1
2016-07-08 11:00:00Z;9,958333;0;1
2016-07-09 11:00:00Z;9,8375;0;1
2016-07-10 11:00:00Z;9,8;0;1
2016-07-11 11:00:00Z;9,858334;0;1
2016-07-12 11:00:00Z;9,852083;0;1
2016-07-13 11:00:00Z;10,43333;0;1
2016-07-14 11:00:00Z;10,72083;0;1
2016-07-15 11:00:00Z;10,36667;0;1
2016-07-16 11:00:00Z;10,23958;0;1
2016-07-17 11:00:00Z;10,99792;0;1
2016-07-18 11:00:00Z;10,97917;0;1
2016-07-19 11:00:00Z;10,70208;0;1
2016-07-20 11:00:00Z;10,47708;0;1
2016-07-21 11:00:00Z;10,34792;0;1
2016-07-22 11:00:00Z;10,37917;0;1
2016-07-23 11:00:00Z;10,95417;0;1
2016-07-24 11:00:00Z;10,66458;0;1
2016-07-25 11:00:00Z;10,50417;0;1
2016-07-26 11:00:00Z;10,78542;0;1
2016-07-27 11:00:00Z;11,35;0;1
2016-07-28 11:00:00Z;11,35;0;1
2016-07-29 11:00:00Z;11,38542;0;1
2016-07-30 11:00:00Z;11,56042;0;1
2016-07-31 11:00:00Z;11,44792;0;1
2016-08-01 11:00:00Z;11,17917;0;1
2016-08-02 11:00:00Z;11,74375;0;1
2016-08-03 11:00:00Z;11,67083;0;1
2016-08-04 11:00:00Z;11,38542;0;1
2016-08-05 11:00:00Z;11,24167;0;1
2016-08-06 11:00:00Z;11,16667;0;1
2016-08-07 11:00:00Z;11,08333;0;1
2016-08-08 11:00:00Z;11,55833;0;1
2016-08-09 11:00:00Z;11,81458;0;1
2016-08-10 11:00:00Z;12,1375;0;1
2016-08-11 11:00:00Z;11,9625;0;1
2016-08-12 11:00:00Z;11,90208;0;1
2016-08-13 11:00:00Z;12,00833;0;1
2016-08-14 11:00:00Z;11,88333;0;1
2016-08-15 11:00:00Z;11,77083;0;1
2016-08-16 11:00:00Z;11,68958;0;1
2016-08-17 11:00:00Z;11,64375;0;1
2016-08-18 11:00:00Z;11,55625;0;1
2016-08-19 11:00:00Z;11,53333;0;1
2016-08-20 11:00:00Z;11,50417;0;1
2016-08-21 11:00:00Z;11,5;0;1
2016-08-22 11:00:00Z;11,58125;0;1
2016-08-23 11:00:00Z;11,4625;0;1
2016-08-24 11:00:00Z;11,45417;0;1
2016-08-25 11:00:00Z;11,65833;0;1
2016-08-26 11:00:00Z;11,91042;0;1
2016-08-27 11:00:00Z;12,31458;0;1
2016-08-28 11:00:00Z;12,23542;0;1
2016-08-29 11:00:00Z;12,18125;0;1
2016-08-30 11:00:00Z;12,08125;0;1
2016-08-31 11:00:00Z;12,33333;0;1
2016-09-01 11:00:00Z;12,275;0;1
2016-09-02 11:00:00Z;12,2375;0;1
2016-09-03 11:00:00Z;12,22083;0;1
2016-09-04 11:00:00Z;12,26875;0;1
2016-09-05 11:00:00Z;12,12917;0;1
2016-09-06 11:00:00Z;12,05;0;1
2016-09-07 11:00:00Z;12,12292;0;1
2016-09-08 11:00:00Z;12,00625;0;1
2016-09-09 11:00:00Z;12,23333;0;1
2016-09-10 11:00:00Z;12,18333;0;1
2016-09-11 11:00:00Z;12,20208;0;1
2016-09-12 11:00:00Z;12,1625;0;1
2016-09-13 11:00:00Z;12,03125;0;1
2016-09-14 11:00:00Z;11,98542;0;1
2016-09-15 11:00:00Z;12,12708;0;1
2016-09-16 11:00:00Z;11,975;0;1
2016-09-17 11:00:00Z;11,92708;0;1
2016-09-18 11:00:00Z;11,96042;0;1
2016-09-19 11:00:00Z;11,90833;0;1
2016-09-20 11:00:00Z;11,86875;0;1
2016-09-21 11:00:00Z;11,85208;0;1
2016-09-22 11:00:00Z;11,83333;0;1
2016-09-23 11:00:00Z;11,83125;0;1
2016-09-24 11:00:00Z;11,94167;0;1
2016-09-25 11:00:00Z;11,91875;0;1
2016-09-26 11:00:00Z;11,92917;0;1
2016-09-27 11:00:00Z;11,875;0;1
2016-09-28 11:00:00Z;11,84167;0;1
2016-09-29 11:00:00Z;12,02083;0;1
2016-09-30 11:00:00Z;11,67083;0;1
2016-10-01 11:00:00Z;11,81875;0;1
2016-10-02 11:00:00Z;11,8125;0;1
2016-10-03 11:00:00Z;11,75833;0;1
2016-10-04 11:00:00Z;11,61875;0;1
2016-10-05 11:00:00Z;11,21667;0;1
2016-10-06 11:00:00Z;11,40208;0;1
2016-10-07 11:00:00Z;11,49167;0;1
