#Risvollan, 123.38.0, Vannføring, dogn
Tidspunkt;Vannføring (m³/s);Korrigert;Kontrollert
1995-01-01 11:00:00Z;0,0007581333;0;0
1995-01-02 11:00:00Z;0,0006973709;0;0
1995-01-03 11:00:00Z;0,0006366085;0;0
1995-01-04 11:00:00Z;0,0005758459;0;0
1995-01-05 11:00:00Z;0,0005150835;0;0
1995-01-06 11:00:00Z;0,0004567802;0;0
1995-01-07 11:00:00Z;0,0006724775;0;0
1995-01-08 11:00:00Z;0,003627492;0;0
1995-01-09 11:00:00Z;0,0007342988;0;0
1995-01-10 11:00:00Z;0,000822849;0;0
1995-01-11 11:00:00Z;0,0009113995;0;0
1995-01-12 11:00:00Z;0,0009999499;0;0
1995-01-13 11:00:00Z;0,002749923;0;0
1995-01-14 11:00:00Z;0,002339725;0;0
1995-01-15 11:00:00Z;0,001301501;0;0
1995-01-16 11:00:00Z;0,008653195;0;0
1995-01-17 11:00:00Z;0,008829838;0;0
1995-01-18 11:00:00Z;0,001982508;0;0
1995-01-19 11:00:00Z;0,001154372;0;0
1995-01-20 11:00:00Z;0,0009957725;0;0
1995-01-21 11:00:00Z;0,0008956044;0;0
1995-01-22 11:00:00Z;0,0007954362;0;0
1995-01-23 11:00:00Z;0,0006963434;0;0
1995-01-24 11:00:00Z;0,0006507157;1;0
1995-01-25 11:00:00Z;0,0006348493;1;0
1995-01-26 11:00:00Z;0,0006189828;1;0
1995-01-27 11:00:00Z;0,0006031164;1;0
1995-01-28 11:00:00Z;0,00058725;1;0
1995-01-29 11:00:00Z;0,0005713835;1;0
1995-01-30 11:00:00Z;0,0005555171;1;0
1995-01-31 11:00:00Z;0,0005396507;1;0
1995-02-01 11:00:00Z;0,0009200759;1;0
1995-02-02 11:00:00Z;0,000962246;0;0
1995-02-03 11:00:00Z;0,0008487068;0;0
1995-02-04 11:00:00Z;0,01129367;0;0
1995-02-05 11:00:00Z;0,02731333;0;0
1995-02-06 11:00:00Z;0,02555938;0;0
1995-02-07 11:00:00Z;0,00347082;0;0
1995-02-08 11:00:00Z;0,001961847;0;0
1995-02-09 11:00:00Z;0,001822363;0;0
1995-02-10 11:00:00Z;0,001736722;0;0
1995-02-11 11:00:00Z;0,001579996;0;0
1995-02-12 11:00:00Z;0,001217687;0;0
1995-02-13 11:00:00Z;0,001252773;0;0
1995-02-14 11:00:00Z;0,002682143;0;0
1995-02-15 11:00:00Z;0,003603425;0;0
1995-02-16 11:00:00Z;0,006193795;0;0
1995-02-17 11:00:00Z;0,004243177;0;0
1995-02-18 11:00:00Z;0,002475265;0;0
1995-02-19 11:00:00Z;0,001716019;0;0
1995-02-20 11:00:00Z;0,001399819;0;0
1995-02-21 11:00:00Z;0,001177634;0;0
