#Risvollan, 123.38.0, Vannføring, dogn
Tidspunkt;Vannføring (m³/s);Korrigert;Kontrollert
1994-01-01 11:00:00Z;0,0004305225;0;0
1994-01-02 11:00:00Z;0,0004305225;0;0
1994-01-03 11:00:00Z;0,0004305225;0;0
1994-01-04 11:00:00Z;0,0004305225;0;0
1994-01-05 11:00:00Z;0,0003680896;0;0
1994-01-06 11:00:00Z;0,0003128266;0;0
1994-01-07 11:00:00Z;0,0003498058;0;0
1994-01-08 11:00:00Z;0,0003867851;0;0
1994-01-09 11:00:00Z;0,0004237643;0;0
1994-01-10 11:00:00Z;0,0004607435;0;0
1994-01-11 11:00:00Z;0,0004977228;0;0
1994-01-12 11:00:00Z;0,000534702;0;0
1994-01-13 11:00:00Z;0,0005711677;0;0
1994-01-14 11:00:00Z;0,001480676;0;0
1994-01-15 11:00:00Z;0,0004001199;0;0
1994-01-16 11:00:00Z;0,0002841165;0;0
1994-01-17 11:00:00Z;0,0003427836;0;0
1994-01-18 11:00:00Z;0,0004017316;0;0
1994-01-19 11:00:00Z;0,0004606795;0;0
1994-01-20 11:00:00Z;0,0005196275;0;0
1994-01-21 11:00:00Z;0,009786356;0;0
1994-01-22 11:00:00Z;0,001157333;0;0
1994-01-23 11:00:00Z;0,0006624846;0;0
1994-01-24 11:00:00Z;0,000597219;0;0
1994-01-25 11:00:00Z;0,0005319533;0;0
1994-01-26 11:00:00Z;0,0004666876;0;0
1994-01-27 11:00:00Z;0,0004014219;0;0
1994-01-28 11:00:00Z;0,0003523054;0;0
1994-01-29 11:00:00Z;0,000349436;0;0
1994-01-30 11:00:00Z;0,000349436;0;0
1994-01-31 11:00:00Z;0,000349436;0;0
1994-02-01 11:00:00Z;0,000349436;0;0
1994-02-02 11:00:00Z;0,000349436;0;0
1994-02-03 11:00:00Z;0,000349436;0;0
1994-02-04 11:00:00Z;0,000349436;0;0
1994-02-05 11:00:00Z;0,000349436;0;0
1994-02-06 11:00:00Z;0,000349436;0;0
1994-02-07 11:00:00Z;0,000349436;0;0
1994-02-08 11:00:00Z;0,0003437339;0;0
1994-02-09 11:00:00Z;0,000325524;0;0
1994-02-10 11:00:00Z;0,0003370186;0;0
1994-02-11 11:00:00Z;0,0003516591;0;0
1994-02-12 11:00:00Z;0,0003662995;0;0
1994-02-13 11:00:00Z;0,00038094;0;0
1994-02-14 11:00:00Z;0,0003955805;0;0
1994-02-15 11:00:00Z;0,000410221;0;0
1994-02-16 11:00:00Z;0,0004248614;0;0
1994-02-17 11:00:00Z;0,0004395019;0;0
1994-02-18 11:00:00Z;0,0004541424;0;0
1994-02-19 11:00:00Z;0,0004687829;0;0
1994-02-20 11:00:00Z;0,0004834234;0;0
1994-02-21 11:00:00Z;0,0004980639;0;0
1994-02-22 11:00:00Z;0,0005127043;0;0
1994-02-23 11:00:00Z;0,0005273448;0;0
1994-02-24 11:00:00Z;0,0005419853;0;0
1994-02-25 11:00:00Z;0,0005566257;0;0
1994-02-26 11:00:00Z;0,0005712662;0;0
1994-02-27 11:00:00Z;0,0005859067;0;0
1994-02-28 11:00:00Z;0,0006005472;0;0
1994-03-01 11:00:00Z;0,0006151876;0;0
1994-03-02 11:00:00Z;0,0006298281;0;0
1994-03-03 11:00:00Z;0,0006444686;0;0
1994-03-04 11:00:00Z;0,0005722957;0;0
1994-03-05 11:00:00Z;0,004487566;0;0
1994-03-06 11:00:00Z;0,00255453;0;0
1994-03-07 11:00:00Z;0,0009583937;0;0
1994-03-08 11:00:00Z;0,005541591;0;0
1994-03-09 11:00:00Z;0,004013587;0;0
1994-03-10 11:00:00Z;0,001805999;0;0
1994-03-11 11:00:00Z;0,0028025;0;0
1994-03-12 11:00:00Z;0,001192393;0;0
1994-03-13 11:00:00Z;0,001183991;0;0
1994-03-14 11:00:00Z;0,001315135;0;0
1994-03-15 11:00:00Z;0,0008749826;0;0
1994-03-16 11:00:00Z;0,000775924;0;0
1994-03-17 11:00:00Z;0,0006983164;0;0
1994-03-18 11:00:00Z;0,0005543734;0;0
1994-03-19 11:00:00Z;0,0004763043;0;0
1994-03-20 11:00:00Z;0,0006335119;0;0
1994-03-21 11:00:00Z;0,0007715706;0;0
1994-03-22 11:00:00Z;0,0005669798;0;0
1994-03-23 11:00:00Z;0,0007159398;0;0
1994-03-24 11:00:00Z;0,001022835;0;0
1994-03-25 11:00:00Z;0,003745717;0;0
1994-03-26 11:00:00Z;0,001799695;0;0
1994-03-27 11:00:00Z;0,001709052;0;0
1994-03-28 11:00:00Z;0,001197518;0;0
1994-03-29 11:00:00Z;0,007748137;0;0
1994-03-30 11:00:00Z;0,006260651;0;0
1994-03-31 11:00:00Z;0,02408527;0;0
1994-04-01 11:00:00Z;0,02541284;0;0
1994-04-02 11:00:00Z;0,01866954;0;0
1994-04-03 11:00:00Z;0,01058267;0;0
1994-04-04 11:00:00Z;0,006963017;0;0
1994-04-05 11:00:00Z;0,008055408;0;0
1994-04-06 11:00:00Z;0,007441128;0;0
1994-04-07 11:00:00Z;0,008399327;0;0
1994-04-08 11:00:00Z;0,005592144;0;0
1994-04-09 11:00:00Z;0,005883151;0;0
1994-04-10 11:00:00Z;0,004850194;0;0
1994-04-11 11:00:00Z;0,005227468;0;0
1994-04-12 11:00:00Z;0,006689236;0;0
